Image File,File Size (KB),Encoding Performance Gain,Decoding Performance Gain,Compression Ratio (CPU),Compression Ratio (GPU),CPU MSE,CPU PSNR,GPU MSE,GPU PSNR
my_generated_images/0000fake_image_64x64.png,12.12890625,0.17377,2.14286,3.5224,3.5224
my_generated_images/0001fake_image_128x128.png,48.1962890625,0.343891,8.0,4.64062,4.64062
my_generated_images/0002fake_image_192x192.png,108.34765625,0.767123,12.4,5.37278,5.37278
my_generated_images/0003fake_image_256x256.png,192.5517578125,1.43925,15.6429,5.71119,5.71119
my_generated_images/0004fake_image_320x320.png,300.75,2.14386,18.9048,5.9128,5.9128
my_generated_images/0005fake_image_384x384.png,432.986328125,1.91103,18.8276,6.02653,6.02653
my_generated_images/0006fake_image_448x448.png,589.2783203125,2.21069,15.2041,6.06978,6.06978
my_generated_images/0007fake_image_512x512.png,769.60546875,2.6035,17.463,6.14911,6.14911
my_generated_images/0008fake_image_576x576.png,973.9384765625,3.42298,19.3966,6.17317,6.17317
my_generated_images/0009fake_image_640x640.png,1202.3125,4.04198,21.7361,6.19917,6.19917
my_generated_images/0010fake_image_704x704.png,1454.732421875,3.917,20.5955,6.22611,6.22611
my_generated_images/0011fake_image_768x768.png,1731.201171875,3.375,21.12,6.22966,6.22966
my_generated_images/0012fake_image_832x832.png,2031.6669921875,5.07252,23.8482,6.24146,6.24146
my_generated_images/0013fake_image_896x896.png,2356.1748046875,4.81476,19.1579,6.25064,6.25064
my_generated_images/0014fake_image_960x960.png,2704.73046875,4.72363,21.9866,6.27208,6.27208
my_generated_images/0015fake_image_1024x1024.png,3077.34765625,5.73234,23.3929,6.26969,6.26969
my_generated_images/0016fake_image_1088x1088.png,3473.939453125,6.251,17.0627,6.2723,6.2723
my_generated_images/0017fake_image_1152x1152.png,3894.591796875,7.09901,14.6879,6.27872,6.27872
my_generated_images/0018fake_image_1216x1216.png,4339.2802734375,6.54191,22.0702,6.27693,6.27693
my_generated_images/0019fake_image_1280x1280.png,4808.013671875,5.2728,16.3877,6.27759,6.27759
my_generated_images/0020fake_image_1344x1344.png,5300.7353515625,7.56243,13.2668,6.28717,6.28717
my_generated_images/0021fake_image_1408x1408.png,5817.517578125,6.94308,15.7532,6.28466,6.28466
my_generated_images/0022fake_image_1472x1472.png,6358.369140625,8.29991,16.7756,6.29121,6.29121
my_generated_images/0023fake_image_1536x1536.png,6923.220703125,7.87674,15.5546,6.28699,6.28699
